Matrix millisec_spmv
bcircuit 0.009023
bcsstk17 0.007548
Bump_2911 1.101003
cell2 0.004949
ch7-8-b2 0.003938
circuit_1 0.015473
coater2 0.005875
cryg10000 0.004954
ex35 0.006386
fe_body 0.007065
fxm3_16 0.010514
G62 0.004943
garon2 0.008312
gyro_m 0.009927
inlet 0.007417
lhr14 0.008559
lp_nug12 0.005007
lshp3025 0.005069
mk10-b2 0.004982
n4c6-b5 0.007210
nemeth13 0.007642
OPF_6000 0.008076
reorientation_3 0.016614
rosen10 0.017141
spaceShuttleEntry_4 0.016587
std1_Jac2_db 0.012260
tols2000 0.007058
TSOPF_RS_b162_c3 0.009668
