Matrix millisec_spmv
1138_bus 0.003864
130bit 0.004921
144 0.060120
145bit 0.004963
162bit 0.004997
176bit 0.004937
192bit 0.006632
208bit 0.009334
2cubes_sphere 0.036102
2D_27628_bjtcai 0.007657
2D_54019_highK 0.029633
333SP 0.901398
3D_28984_Tetra 0.020025
3D_51448_3D 0.045101
3dtube 0.051057
3elt_dual 0.005066
3elt 0.005103
598a 0.046871
662_bus 0.004962
685_bus 0.005023
a0nsdsil 0.126719
a2nnsnsl 0.112988
a5esindl 0.207485
ABACUS_shell_hd 0.006188
ABACUS_shell_ld 0.006206
ABACUS_shell_md 0.006213
ABACUS_shell_ud 0.006184
abtaha1 0.005015
abtaha2 0.004947
adaptive 0.651692
add20 0.005193
add32 0.003991
adder_dcop_01 0.015053
adder_trans_01 0.015108
adder_trans_02 0.015082
af_0_k101 0.305154
af_1_k101 0.305116
af23560 0.009283
af_2_k101 0.314847
af_3_k101 0.306556
af_4_k101 0.305177
af_5_k101 0.305188
af_shell10 1.135960
af_shell1 0.300610
af_shell2 0.300528
af_shell3 0.307232
af_shell4 0.300269
af_shell5 0.300667
af_shell6 0.300760
af_shell7 0.300713
af_shell8 0.310601
af_shell9 0.300439
aft01 0.005014
aft02 0.004096
aircraft 0.005066
airfoil1_dual 0.005054
airfoil1 0.005007
airfoil_2d 0.007553
ak2010 0.014079
al2010 0.040701
Alemdar 0.004978
amazon0302 0.035595
amazon0312 0.083212
amazon0505 0.085709
amazon0601 0.085561
amazon-2008 0.120821
Andrews 0.023555
apache1 0.007539
apache2 0.080788
appu 0.041513
ar2010 0.028448
as-22july06 0.055963
AS365 1.580281
as-735 0.032717
as-caida 0.058010
ash608 0.005044
ash958 0.005025
asia_osm 0.860945
ASIC_100k 0.772052
ASIC_100ks 0.011248
ASIC_320k 3.334745
ASIC_320ks 0.046746
ASIC_680ks 0.064580
as-Skitter 1.255001
astro-ph 0.007485
atmosmodd 0.150187
atmosmodj 0.147465
atmosmodl 0.167562
atmosmodm 0.167517
aug2dc 0.004964
aug2d 0.003831
aug3dcqp 0.004945
aug3d 0.005073
auto 0.186184
av41092 0.041552
az2010 0.040314
b2_ss 0.004916
barrier2-10 0.107493
barrier2-1 0.097218
barrier2-2 0.097121
barrier2-9 0.107512
barth4 0.004958
barth5 0.003927
barth 0.004917
bas1lp 0.007951
Baumann 0.014899
bauru5727 0.004780
baxter 0.061956
bayer01 0.005527
bayer02 0.004896
bayer03 0.004982
bayer04 0.004946
bayer05 0.004966
bayer06 0.004987
bayer09 0.005083
bayer10 0.004980
bbmat 0.031582
bcircuit 0.009100
bcspwr06 0.005044
bcspwr07 0.004985
bcspwr08 0.005514
bcspwr09 0.004948
bcspwr10 0.005051
bcsstk03 0.005050
bcsstk06 0.005049
bcsstk07 0.005296
bcsstk08 0.005020
bcsstk09 0.005193
bcsstk10 0.005065
bcsstk11 0.005085
bcsstk13 0.004963
bcsstk14 0.004943
bcsstk15 0.005049
bcsstk16 0.005886
bcsstk17 0.007651
bcsstk18 0.005411
bcsstk19 0.004924
bcsstk20 0.005102
bcsstk21 0.004916
bcsstk23 0.004926
bcsstk25 0.006378
bcsstk26 0.004979
bcsstk27 0.004942
bcsstk28 0.005461
bcsstk29 0.009136
bcsstk30 0.030194
bcsstk31 0.024316
bcsstk32 0.034677
bcsstk33 0.008244
bcsstk34 0.005020
bcsstk35 0.025564
bcsstk36 0.020482
bcsstk37 0.021472
bcsstk38 0.008445
bcsstk39 0.037143
bcsstm03 0.004848
bcsstm04 0.004067
bcsstm05 0.004915
bcsstm06 0.005145
bcsstm08 0.005030
bcsstm09 0.005185
bcsstm10 0.005126
bcsstm11 0.004892
bcsstm12 0.005097
bcsstm13 0.005050
bcsstm19 0.004930
bcsstm20 0.005125
bcsstm21 0.005077
bcsstm22 0.004930
bcsstm23 0.005008
bcsstm24 0.005009
bcsstm25 0.005170
bcsstm26 0.004932
bcsstm27 0.004945
bcsstm34 0.005046
bcsstm35 0.005064
bcsstm36 0.007347
bcsstm37 0.005194
bcsstm38 0.005008
bcsstm39 0.005077
b_dyn 0.005158
belgium_osm 0.081710
BenElechi1 0.195515
benzene 0.006233
bfly 0.004981
bfwa782 0.005083
bfwb782 0.004987
bibd_49_3 0.004949
bibd_81_2 0.004959
bibd_81_3 0.005512
big_dual 0.005052
big 0.005073
biplane-9 0.004999
bips07_1693 0.005069
bips07_1998 0.004917
bips07_2476 0.004953
bips07_3078 0.004941
bips98_1142 0.005015
bips98_1450 0.005127
bips98_606 0.004983
blckhole 0.005004
blockqp1 0.232198
bloweya 0.205916
bloweybl 0.206895
bloweybq 0.106919
bmw3_2 0.167202
bmw7st_1 0.105421
bmwcra_1 0.130389
bodyy4 0.004285
bodyy5 0.004187
bodyy6 0.004831
bone010 0.972871
boneS01 0.096229
boneS10 0.801023
boyd1 0.750123
boyd2 3.745582
bp_0 0.006776
bp_1000 0.005530
bp_1200 0.005734
bp_1400 0.005736
bp_1600 0.005493
bp_200 0.007369
bp_400 0.007585
bp_600 0.005442
bp_800 0.005486
brack2 0.015000
brainpc2 0.145230
bratu3d 0.004821
Bump_2911 1.326791
bundle1 0.013055
bundle_adj 0.351161
bwm2000 0.005236
bwm200 0.004447
c-18 0.004910
c-19 0.005055
c-20 0.004991
c-21 0.005073
c-22 0.005003
c-23 0.008772
c-24 0.005107
c-25 0.005944
c-26 0.007230
c-27 0.006066
c-28 0.006783
c-29 0.006987
c-30 0.013764
c-31 0.005456
c-32 0.013681
c-33 0.011990
c-34 0.007470
c-35 0.008214
c-36 0.009791
c-37 0.006878
c-38 0.007846
c-39 0.007110
c-40 0.019915
c-41 0.007845
c-42 0.009270
c-43 0.017425
c-44 0.010421
c-45 0.015531
c-46 0.021055
c-47 0.018224
c-48 0.011639
c-49 0.023545
c-50 0.025739
c-51 0.023860
c-52 0.024654
c-53 0.032767
c-54 0.018104
c-55 0.024863
c-56 0.015061
c-57 0.072912
c-58 0.037122
c-59 0.025515
c-60 0.029208
c-61 0.036819
c-62ghs 0.036478
c-62 0.036552
c-63 0.025692
c-64b 0.087024
c-64 0.083343
c-65 0.037573
c-66 0.035480
c-67b 0.019503
c-67 0.019304
c-68 0.034613
c-69 0.031427
c-70 0.044286
c-71 0.069401
c-72 0.088391
c-73b 0.626993
c-73 0.626899
c8_mat11_I 0.028678
c8_mat11 0.029304
ca2010 0.117393
ca-AstroPh 0.011886
ca-CondMat 0.008554
cage10 0.004951
cage11 0.009031
cage12 0.036589
cage13 0.131695
cage8 0.004921
cage9 0.005098
CAG_mat1916 0.005153
ca-GrQc 0.005163
ca-HepPh 0.009256
ca-HepTh 0.005037
caidaRouterLevel 0.051120
California 0.009609
can_1054 0.004217
can_1072 0.004985
can_634 0.004999
can_715 0.005011
can_838 0.005146
cant 0.054834
car4 0.005637
case39 0.114328
case9 0.044868
cat_ears_2_4 0.004849
cat_ears_3_4 0.005219
cat_ears_4_4 0.004993
cavity05 0.005032
cavity06 0.004999
cavity07 0.005033
cavity08 0.005257
cavity09 0.005000
cavity10 0.005195
cavity11 0.004962
cavity12 0.005016
cavity13 0.005023
cavity14 0.005007
cavity15 0.004932
cavity16 0.005015
cavity17 0.004980
cavity18 0.004933
cavity19 0.005251
cavity20 0.004989
cavity21 0.004990
cavity22 0.004895
cavity23 0.004991
cavity24 0.005419
cavity25 0.004938
cavity26 0.005015
c-big 0.342917
cbuckle 0.008688
cca 0.005074
ccc 0.005035
cdde1 0.005362
cdde2 0.005078
cdde3 0.005180
cdde4 0.005040
cdde5 0.004999
cdde6 0.005000
cegb2802 0.005054
cegb2919 0.005070
cegb3024 0.005029
cegb3306 0.004957
cell1 0.005005
cell2 0.004992
cep1 0.005049
cfd1 0.031458
cfd2 0.051074
ch5-5-b2 0.005076
ch5-5-b3 0.003957
ch6-6-b2 0.005275
ch6-6-b3 0.005073
ch6-6-b4 0.004890
ch7-6-b1 0.005075
ch7-6-b2 0.004999
ch7-6-b3 0.004979
ch7-6-b4 0.004977
ch7-6-b5 0.004950
ch7-7-b1 0.005035
ch7-7-b2 0.004919
ch7-7-b5 0.006279
ch7-8-b1 0.004983
ch7-8-b2 0.005066
ch7-8-b3 0.005796
ch7-8-b4 0.017635
ch7-8-b5 0.018787
ch7-9-b1 0.005129
ch7-9-b2 0.003866
ch7-9-b3 0.007252
ch7-9-b4 0.036425
ch7-9-b5 0.050288
ch8-8-b1 0.005149
ch8-8-b2 0.004301
ch8-8-b3 0.007308
ch8-8-b4 0.042461
ch8-8-b5 0.065641
Chebyshev1 0.005677
Chebyshev2 0.028496
Chebyshev3 0.054103
Chebyshev4 0.382916
Chem97Zt 0.006059
Chem97ZtZ 0.006172
chem_master1 0.004950
Chevron1 0.005946
Chevron2 0.016005
Chevron3 0.058653
Chevron4 0.107781
chipcool0 0.007325
chipcool1 0.007322
ch 0.004876
circuit_1 0.015691
circuit204 0.004969
circuit_2 0.022521
circuit_3 0.049730
circuit_4 0.140703
cis-n4c6-b13 0.005001
cis-n4c6-b14 0.004945
cis-n4c6-b2 0.005045
cis-n4c6-b3 0.005233
cis-n4c6-b4 0.005072
citationCiteseer 0.101105
cit-HepPh 0.012659
cit-HepTh 0.012087
cit-Patents 1.513187
ck400 0.005020
ck656 0.004950
ckt11752_dc_1 0.034570
cnr-2000 0.082417
co2010 0.032199
co5 0.005714
co9 0.006729
coater1 0.005225
coater2 0.005999
coAuthorsCiteseer 0.054112
coAuthorsDBLP 0.055311
commanche_dual 0.003887
comsol 0.004558
CO 0.153434
cond-mat-2003 0.007641
cond-mat-2005 0.010476
cond-mat 0.005201
conf5_0-4x4-10 0.005026
conf5_0-4x4-14 0.005015
conf5_0-4x4-18 0.005037
conf5_0-4x4-22 0.005005
conf5_0-4x4-26 0.004133
conf5_4-8x8-05 0.036463
conf5_4-8x8-10 0.036498
conf5_4-8x8-15 0.036482
conf5_4-8x8-20 0.036455
conf6_0-4x4-20 0.004188
conf6_0-4x4-30 0.004166
conf6_0-8x8-20 0.036471
conf6_0-8x8-30 0.036495
conf6_0-8x8-80 0.036452
consph 0.073609
cont11_l 0.105678
cont1_l 0.134553
cont-201 0.007795
cont-300 0.021321
cop20k_A 0.055260
coPapersCiteseer 0.459761
coPapersDBLP 0.504519
copter1 0.005718
copter2 0.014736
coupled 0.035569
cq5 0.005444
cq9 0.006203
cr42 0.005027
crack_dual 0.004938
crack 0.005022
crankseg_1 0.120114
crankseg_2 0.160844
crashbasis 0.034225
crplat2 0.016468
cryg10000 0.005381
cryg2500 0.004934
crystk01 0.005469
crystk02 0.014919
crystk03 0.024783
crystm01 0.004654
crystm02 0.007171
crystm03 0.010238
cs4 0.004921
ct2010 0.009178
ct20stif 0.041171
cti 0.005057
CurlCurl_0 0.004574
CurlCurl_1 0.046382
CurlCurl_2 0.157490
CurlCurl_3 0.233190
CurlCurl_4 0.496641
cvxbqp1 0.007217
cvxqp3 0.005102
cyl6 0.009427
cz10228 0.005165
cz1268 0.005047
cz148 0.005399
cz20468 0.006405
cz2548 0.004923
cz308 0.004995
cz40948 0.010042
cz5108 0.004992
cz628 0.005003
D6-6 0.006197
D_6 0.004926
D_7 0.005102
D_8 0.005066
D_9 0.005068
dano3mip 0.006164
darcy003 0.049044
data 0.004948
dawson5 0.023900
dbic1 0.031218
dbir1 0.030990
dbir2 0.037418
dblp-2010 0.043093
dc1 1.742459
de063155 0.005147
de063157 0.003843
de080285 0.004922
de2010 0.005514
debr 0.076956
degme 3.335881
delaunay_n10 0.005101
delaunay_n11 0.003907
delaunay_n12 0.005117
delaunay_n13 0.004982
delaunay_n14 0.004968
delaunay_n15 0.005382
delaunay_n16 0.007315
delaunay_n17 0.017358
delaunay_n18 0.032963
delaunay_n19 0.065262
delaunay_n20 0.129969
delaunay_n21 0.277681
delaunay_n22 0.638641
delaunay_n23 1.643495
delf 0.004983
deltaX 0.006648
denormal 0.020750
descriptor_xingo6u 0.005063
deter0 0.005051
deter1 0.004942
deter2 0.005084
deter3 0.005018
deter4 0.004934
deter5 0.005253
deter6 0.005114
deter7 0.004940
deter8 0.005061
df2177 0.005017
diag 0.005043
dictionary28 0.005800
dielFilterV2clx 0.404746
dixmaanl 0.005433
DK01R 0.005022
d_pretok 0.030831
dtoc 0.005036
Dubcova1 0.005493
Dubcova2 0.018784
Dubcova3 0.063797
dw1024 0.005015
dw2048 0.003899
dw256A 0.005198
dw256B 0.004942
dw4096 0.005088
dw8192 0.005340
dwa512 0.005101
dwb512 0.005088
dwg961a 0.005084
dwg961b 0.005081
dwt_1005 0.005118
dwt_1007 0.005328
dwt_1242 0.005064
dwt_2680 0.005050
dwt_310 0.004926
dwt_361 0.004998
dwt_512 0.004963
dwt_592 0.005015
dwt_607 0.005012
dwt_72 0.004910
dwt_758 0.005004
dwt_869 0.005020
dwt_878 0.005125
dwt_918 0.005007
dwt_992 0.004969
dynamicSoaringProblem_1 0.004878
dynamicSoaringProblem_2 0.005266
dynamicSoaringProblem_3 0.007739
dynamicSoaringProblem_4 0.008140
dynamicSoaringProblem_5 0.008148
dynamicSoaringProblem_6 0.008926
dynamicSoaringProblem_7 0.009114
dynamicSoaringProblem_8 0.008905
e18 0.004960
e40r0100 0.008687
EAT_RS 0.013266
EAT_SR 0.010113
ecl32 0.007362
ecology1 0.085533
ecology2 0.085680
email-Enron 0.016220
email-EuAll 0.059063
email 0.005032
Emilia_923 0.718012
engine 0.073580
enron 0.032136
EPA 0.010431
epb0 0.005040
epb1 0.004922
epb2 0.004969
epb3 0.007817
Erdos02 0.017670
