Matrix millisec_spmv
bcircuit 0.009038
bcsstk17 0.007539
Bump_2911 1.082096
cell2 0.005021
ch7-8-b2 0.003965
circuit_1 0.015418
coater2 0.005893
cryg10000 0.004984
ex35 0.006393
fe_body 0.007124
fxm3_16 0.010568
G62 0.005144
garon2 0.008339
gyro_m 0.009998
inlet 0.007511
lhr14 0.008548
lp_nug12 0.005070
lshp3025 0.004980
mk10-b2 0.004924
n4c6-b5 0.007235
nemeth13 0.007620
OPF_6000 0.008038
reorientation_3 0.016671
rosen10 0.017118
spaceShuttleEntry_4 0.016557
std1_Jac2_db 0.012317
tols2000 0.007035
TSOPF_RS_b162_c3 0.009666
