Matrix millisec_spmv
1138_bus 0.003817
130bit 0.005026
144 0.048258
145bit 0.004989
162bit 0.004048
176bit 0.004904
192bit 0.006339
208bit 0.007964
2cubes_sphere 0.031529
2D_27628_bjtcai 0.007617
2D_54019_highK 0.029590
333SP 0.794150
3D_28984_Tetra 0.019782
3D_51448_3D 0.044990
3dtube 0.050734
3elt_dual 0.004983
3elt 0.004004
598a 0.037874
662_bus 0.004910
685_bus 0.003810
a0nsdsil 0.127657
a2nnsnsl 0.112844
a5esindl 0.207403
ABACUS_shell_hd 0.006173
ABACUS_shell_ld 0.006161
ABACUS_shell_md 0.006175
ABACUS_shell_ud 0.006184
abtaha1 0.005152
abtaha2 0.004991
adaptive 0.645930
add20 0.004907
add32 0.004986
adder_dcop_01 0.015053
adder_trans_01 0.015038
adder_trans_02 0.015067
af_0_k101 0.289879
af_1_k101 0.290460
af23560 0.009157
af_2_k101 0.297727
af_3_k101 0.290056
af_4_k101 0.290006
af_5_k101 0.290134
af_shell10 0.981289
af_shell1 0.291873
af_shell2 0.292380
af_shell3 0.302116
af_shell4 0.291990
af_shell5 0.292443
af_shell6 0.292006
af_shell7 0.291966
af_shell8 0.297931
af_shell9 0.291676
aft01 0.004214
aft02 0.004883
aircraft 0.005104
airfoil1_dual 0.004975
airfoil1 0.004875
airfoil_2d 0.007607
ak2010 0.013326
al2010 0.027597
Alemdar 0.004991
amazon0302 0.025083
amazon0312 0.059710
amazon0505 0.062028
amazon0601 0.061138
amazon-2008 0.110084
Andrews 0.018548
apache1 0.007531
apache2 0.080692
appu 0.024884
ar2010 0.020495
as-22july06 0.052379
AS365 1.472420
as-735 0.032559
as-caida 0.057827
ash608 0.005015
ash958 0.004978
asia_osm 0.807160
ASIC_100k 0.705536
ASIC_100ks 0.011107
ASIC_320k 3.340302
ASIC_320ks 0.044305
ASIC_680ks 0.059695
as-Skitter 1.072179
astro-ph 0.006949
atmosmodd 0.144960
atmosmodj 0.149548
atmosmodl 0.167386
atmosmodm 0.167042
aug2dc 0.004036
aug2d 0.005198
aug3dcqp 0.004991
aug3d 0.005210
auto 0.133952
av41092 0.040055
az2010 0.028110
b2_ss 0.004952
barrier2-10 0.094605
barrier2-1 0.087809
barrier2-2 0.087823
barrier2-9 0.094601
barth4 0.004801
barth5 0.003797
barth 0.004868
bas1lp 0.006672
Baumann 0.014916
bauru5727 0.004912
baxter 0.061813
bayer01 0.005362
bayer02 0.004986
bayer03 0.004950
bayer04 0.004447
bayer05 0.005058
bayer06 0.004877
bayer09 0.004970
bayer10 0.005152
bbmat 0.027867
bcircuit 0.007720
bcspwr06 0.004963
bcspwr07 0.004840
bcspwr08 0.004985
bcspwr09 0.005278
bcspwr10 0.004934
bcsstk03 0.004954
bcsstk06 0.004907
bcsstk07 0.004988
bcsstk08 0.004899
bcsstk09 0.004952
bcsstk10 0.005026
bcsstk11 0.004921
bcsstk13 0.004935
bcsstk14 0.005341
bcsstk15 0.005228
bcsstk16 0.005831
bcsstk17 0.007592
bcsstk18 0.005363
bcsstk19 0.005092
bcsstk20 0.005089
bcsstk21 0.004895
bcsstk23 0.004934
bcsstk25 0.006384
bcsstk26 0.005274
bcsstk27 0.004934
bcsstk28 0.005454
bcsstk29 0.009016
bcsstk30 0.028256
bcsstk31 0.022499
bcsstk32 0.031907
bcsstk33 0.008075
bcsstk34 0.005028
bcsstk35 0.023649
bcsstk36 0.019389
bcsstk37 0.020232
bcsstk38 0.008248
bcsstk39 0.033722
bcsstm03 0.005030
bcsstm04 0.003792
bcsstm05 0.004908
bcsstm06 0.005158
bcsstm08 0.005042
bcsstm09 0.004925
bcsstm10 0.005242
bcsstm11 0.004995
bcsstm12 0.005091
bcsstm13 0.004944
bcsstm19 0.005071
bcsstm20 0.004991
bcsstm21 0.005028
bcsstm22 0.005224
bcsstm23 0.005028
bcsstm24 0.004947
bcsstm25 0.005221
bcsstm26 0.005253
bcsstm27 0.005019
bcsstm34 0.004927
bcsstm35 0.005102
bcsstm36 0.007484
bcsstm37 0.004895
bcsstm38 0.005237
bcsstm39 0.004984
b_dyn 0.004899
belgium_osm 0.079796
BenElechi1 0.161022
benzene 0.005890
bfly 0.005191
bfwa782 0.004956
bfwb782 0.004956
bibd_49_3 0.004909
bibd_81_2 0.005102
bibd_81_3 0.005685
big_dual 0.004911
big 0.004898
biplane-9 0.005299
bips07_1693 0.004965
bips07_1998 0.004979
bips07_2476 0.005029
bips07_3078 0.005007
bips98_1142 0.004919
bips98_1450 0.005058
bips98_606 0.005067
blckhole 0.004918
blockqp1 0.247572
bloweya 0.205007
bloweybl 0.206181
bloweybq 0.106846
bmw3_2 0.151871
bmw7st_1 0.095847
bmwcra_1 0.125637
