Matrix millisec_spmv
bcircuit 0.009090
bcsstk17 0.007662
Bump_2911 1.327955
cell2 0.004986
ch7-8-b2 0.003982
circuit_1 0.015736
coater2 0.005975
cryg10000 0.004998
ex35 0.006484
fe_body 0.007163
fxm3_16 0.010520
G62 0.005027
garon2 0.008638
gyro_m 0.010040
inlet 0.007465
lhr14 0.008587
lp_nug12 0.004944
lshp3025 0.004961
mk10-b2 0.005110
n4c6-b5 0.007276
nemeth13 0.007671
OPF_6000 0.008095
reorientation_3 0.016599
rosen10 0.017122
spaceShuttleEntry_4 0.016746
std1_Jac2_db 0.012457
tols2000 0.007101
TSOPF_RS_b162_c3 0.009887
