Matrix millisec_spmv
bcircuit 0.011078
bcsstk17 0.009071
Bump_2911 1.644724
cell2 0.005479
ch7-8-b2 0.003979
circuit_1 0.015358
coater2 0.006820
cryg10000 0.005060
ex35 0.007195
fe_body 0.008321
fxm3_16 0.011696
G62 0.004997
garon2 0.009463
gyro_m 0.012055
inlet 0.008688
lhr14 0.010470
lp_nug12 0.005004
lshp3025 0.004277
mk10-b2 0.005092
n4c6-b5 0.007790
nemeth13 0.009085
OPF_6000 0.009151
reorientation_3 0.016635
rosen10 0.017113
spaceShuttleEntry_4 0.016588
std1_Jac2_db 0.014887
tols2000 0.007070
TSOPF_RS_b162_c3 0.011345
